channelName,commentsCount,commentsTurnedOff,duration,id,likes,numberOfSubscribers,viewCount
SCTV,1,FALSE,03:32,KZDulGIgeUs,21,18700000,3795
tvOneNews,127,FALSE,38:57:00,QVQJFHLxXJ0,345,9990000,24707
deHakims Story,998,FALSE,17:09,R9DzYVWypvY,26871,1700000,1461432
KOMPASTV,331,FALSE,09:00,fDM9vUlHcgM,2692,13900000,246917
RCTI - ENTERTAINMENT,2,FALSE,15:43,BeJv1FreYlA,53,5950000,6173
Kompas.com,,,,rE8QX3vVNgg,574,1910000,82701
Indosiar,5,FALSE,04:34,GUwt8nBpovE,116,22700000,13332
tvOneNews,181,FALSE,01:24:05,Ig_DGekytQI,1673,0,149073
KOMPASTV,29,FALSE,08:15,9zWylu-IaH8,594,13900000,49703
SCTV,200,FALSE,12:55,BmFutghtA5Y,1975,18700000,305632
tvOneNews,359,FALSE,17:46,NSTVdyz9STk,1777,9990000,178940
CNN Indonesia,103,FALSE,05:25,IYQh1rID9U8,2070,9960000,328291
KOMPASTV,24140,FALSE,09:39,kCruCxGI2ME,48446,13900000,3057598
KOMPASTV,25,FALSE,10:58,S73C7LoftHg,427,13900000,50123
Presiden Joko Widodo,,,,_UBo_JpvUhc,16258,3150000,1048976
tvOneNews,4,FALSE,07:59,S7iYwQWarNs,208,9990000,20493
Tribunnews,74,FALSE,03:46,62r5hPIQ5JE,638,8370000,129809
CNN Indonesia,349,FALSE,07:08,5xuv2kCXcxQ,4033,9960000,498090
Presiden Joko Widodo,,,,fw_CjubKxd4,19800,3150000,1122069
tvOneNews,56,FALSE,12:51,6W8vy-2LBsw,207,9990000,29958
tvOneNews,164,FALSE,30:48:00,qoeHKk_4EHE,888,9990000,80597
KOMPASTV,550,FALSE,08:43,2K2NeiI179s,4076,13900000,528606
KOMPASTV,,,,6Wq8TpDD8XY,3722,13900000,523679
